ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Dispatch,"ರವಾನಿಸು, ರವಾನೆ",,,,,,,,,YES
,Dip Rod,"ಅದ್ದುವ ಸಲಾಕೆ, ಡಿಪ್‌ರಾಡ್‌",,,,,,,,,YES
,Disbursement,ಬಟವಾಡೆ,,,,,,,,,YES
,Discrepancy Report,"ವ್ಯತ್ಯಾಸ ವರದಿ, ಅಸಂಬದ್ಧ ವರದಿ, ಭಿನ್ನ ವರದಿ",,,,,,,,,YES
,Disposal,"ವಿಲೆ, ಹಸ್ತಾಂತರ",,,,,,,,,YES
,Disqualify,ಅನರ್ಹಗೊಳಿಸು,,,,,,,,,YES
,Distribution Chart,ವಿತರಣಾ ಪಟ್ಟಿ,,,,,,,,,YES
,District Tender Bulletin,ಜಿಲ್ಲಾಟೆಂಡರ್‌ ಪ್ರಕಟಣೆ,,,,,,,,,YES
,Divisional Stores,ವಿಭಾಗಿಯ ದಾಸ್ತಾನು ಮಳೆಗೆ,,,,,,,,,YES
,Earnest Money Deposit,ಮುಂಗಡ ಠೇವಣಿ ಮೊತ್ತ,,,,,,,,,YES
,Eligible/ eligibility,ಅರ್ಹ / ಅರ್ಹತೆ,,,,,,,,,YES
,End rate,"ಅಂತಿಮ ದರ, ಕೊನೆ ದರ",,,,,,,,,YES
,Evaluation criteria,ಮೌಲ್ಯ ಮಾಪನ ಮಾನದಂಡ,,,,,,,,,YES
,Excise Duty,ಅಬಕಾರಿ ಸುಂಕ,,,,,,,,,YES
,Ex-godown,ಮಳಿಗೆ,,,,,,,,,YES
,Fax,ಫ್ಯಾಕ್ಸ್,,,,,,,,,YES
,Firms,ಫರ್ಮುಗಳು,,,,,,,,,YES
,Fixed Assets,ನಿಗದಿತ ಆಸ್ತಿಗಳು / ಸ್ವತ್ತುಗಳು / ಸ್ಥಿರಾಸ್ತಿಗಳು,,,,,,,,,YES
,Free on Board,ಹಡಗಿನಲ್ಲಿ ವೆಚ್ಚವಿಲ್ಲದೆ ಸಾಗುವ,,,,,,,,,YES
,Free on road,ರಸ್ತೆಯಲ್ಲಿ ವೆಚ್ಚವಿಲ್ಲದೆ ಸಾಗುವ,,,,,,,,,YES
,Free replacement,ವೆಚ್ಚವಿಲ್ಲದ ಬದಲಾವಣೆ,,,,,,,,,YES
,Freight,ಸಾಗಣೆ ಬಾಡಿಗೆ,,,,,,,,,YES
,Ground rent,ನೆಲ ಬಾಡಿಗೆ,,,,,,,,,YES
,Guarantee,"ಗ್ಯಾರಂಟಿ, ಖಾತರಿ",,,,,,,,,YES
,Half year,ಅರ್ಧ ವರ್ಷ,,,,,,,,,YES
,Handling Charges,ನಿರ್ವಹಣಾ ಶುಲ್ಕಗಳು,,,,,,,,,YES
,Indenting,ಕೋರಿಕೆ ಸಲ್ಲಿಸುವುದು / ಬೇಡಿಕೆ ಸಲ್ಲಿಸುವುದು,,,,,,,,,YES
,Inspection report,ತಪಾಸಣಾ ವರದಿ,,,,,,,,,YES
,Insurance,ವಿಮೆ,,,,,,,,,YES
,Inventory,ವಿವರಣಾ ಪಟ್ಟಿ,,,,,,,,,YES
,Invoice,ಖರೀದಿ ಪಟ್ಟಿ,,,,,,,,,YES
,Invoke,"ಆಹ್ವಾನಿಸು, ಅನ್ವಯಿಸು",,,,,,,,,YES
,Issue Voucher,ನೀಡಿಕೆ ವೋಚರ್‌,,,,,,,,,YES
,Item Code Number,ಬಾಬ್ತಿನ ಗೌಪ್ಯ ಸಂಖ್ಯೆ,,,,,,,,,YES
,Junior Assistant,ಕಿರಿಯ ಸಹಾಯಕ,,,,,,,,,YES
,Karnataka Transparency in Public Procurement Act,ಕರ್ನಾಟಕ ಸಾರ್ವಜನಿಕ ಸಂಗ್ರಹಣೆಯಲ್ಲಿ ಪಾರದರ್ಶಕತೆ ಅಧಿನಿಯಮ,,,,,,,,,YES
,Large Scale Industries,ಬೃಹತ್ ಪ್ರಮಾಣದ ಕೈಗಾರಿಕೆಗಳು,,,,,,,,,YES
,Letter of Intent,ಉದ್ದೇಶಪತ್ರ,,,,,,,,,YES
,Local Purchase,ಸ್ಥಳೀಯ ಖರೀದಿ,,,,,,,,,YES
,Local purchase Committee,ಸ್ಥಳೀಯ ಖರೀದಿ ಸಮಿತಿ,,,,,,,,,YES
,Major Assemblies,ದೊಡ್ಡ ಜೋಡಣೆಗಳು,,,,,,,,,YES
,Make/ Brand,ತಯಾರಿಕೆ / ಬ್ರಾಂಡ್,,,,,,,,,YES
,Manufacturers Part Number,ತಯಾರಿಕರ ಭಾಗ ಸಂಖ್ಯೆ,,,,,,,,,YES
,Master Control Register,ಮುಖ್ಯ ನಿಯಂತ್ರಣ ರಿಜಿಸ್ಟರು,,,,,,,,,YES
,Medium scale Industries,ಮಧ್ಯಮ ಪ್ರಮಾಣದ ಕೈಗಾರಿಕೆಗಳು.,,,,,,,,,YES
,Minor Assemblies,ಸಣ್ಣ ಜೋಡಣೆಗಳು,,,,,,,,,YES
,Negotiations,"ಮಾತುಕತೆ, ಸಂಧಾನಗಳು",,,,,,,,,YES
,Nomenclature,ನಾಮಾವಳಿ,,,,,,,,,YES
,Operational target,ಕಾರ್ಯಾಚರಣೆ ಗುರಿ,,,,,,,,,YES
,Order level,"ಆದೇಶದ ಹಂತ, ಕೋರಿಕೆಯ ಹಂತ",,,,,,,,,YES
,Original Equipment Manufacturers,ಮೂಲ ಉಪಕರಣ ತಯಾರಕರು,,,,,,,,,YES
,Packing and Forwarding,ಪ್ಯಾಕಿಂಗ್‌ ಮತ್ತು ರವಾನೆ,,,,,,,,,YES
,Charges,ಶುಲ್ಕಗಳು,,,,,,,,,YES
,Payment,ಸಂದಾಯ,,,,,,,,,YES
,Planning,ಯೋಜನೆ,,,,,,,,,YES
,Poor Quality,ಕಳಪೆ ಗುಣಮಟ್ಟ,,,,,,,,,YES
,Premature failures,ಅಕಾಲಿಕ ವಿಫಲತೆಗಳು,,,,,,,,,YES
,Prequalification Offer,"ಪೂರ್ವಾರ್ಹತೆ ಆಹ್ವಾನ, ಕೋರಿಕೆ",,,,,,,,,YES
,Price variation clause,ಬೆಲೆ ವ್ಯತ್ಯಾಸ ಖಂಡ,,,,,,,,,YES
,Prices,ಬೆಲೆಗಳು,,,,,,,,,YES
,Procurement,"ಸಂಗ್ರಹಣೆ, ಪಡೆಯುವುದು, ದೊರಕಿಸುವುದು",,,,,,,,,YES
,Prorata recovery,ದಾಮಾಷಾ ವಸೂಲಾತಿ,,,,,,,,,YES
,Purchase Order,"ಖರೀದಿ ಆದೇಶ, ಕೋರಿಕೆ",,,,,,,,,YES
,Purchase Policy,ಖರೀದಿ ನೀತಿ,,,,,,,,,YES
,Qualify,ಅರ್ಹವಾಗು,,,,,,,,,YES
,Quality,ಗುಣ ಮಟ್ಟ,,,,,,,,,YES
,Quantity,ಪ್ರಮಾಣ,,,,,,,,,YES
,Quarter,ತ್ರೈಮಾಸಿಕ,,,,,,,,,YES
,Quotation,"ಉದ್ದರಣೆ, ಕೊಟೇಶನ್",,,,,,,,,YES
,Quoted rates,ಉದ್ಧರಿತ ದರಗಳು,,,,,,,,,YES
,Rack,ರ‍್ಯಾಕ್‌,,,,,,,,,YES
,Railway receipt,"ರೈಲ್ವೆ ರಸೀತಿ, ರೈಲ್ವೆ ಸ್ವೀಕೃತಿ",,,,,,,,,YES
,Rate Contract,"ದರ ಕರಾರು, ದರ ಒಪ್ಪಂದ",,,,,,,,,YES
,Rates,ದರಗಳು,,,,,,,,,YES
,Receipt Control number,ಸ್ವೀಕೃತಿ ನಿಯಂತ್ರಣ ಸಂಖ್ಯೆ,,,,,,,,,YES
,Receipt Voucher,ಸ್ವೀಕೃತಿ ವೋಚರ್‌,,,,,,,,,YES
,Record of indents,ಕೋರಿಕೆ ಪತ್ರಗಳ ದಾಖಲೆಗಳು,,,,,,,,,YES
,Resolution,"ನಿರ್ಣಯ, ಠರಾವು",,,,,,,,,YES
,Retirement of documents,"ದಾಖಲೆಗಳ ವಿಮುಕ್ತಿ, ದಸ್ತಾವೇಜುಗಳನ್ನು ಚಲಾವಣೆಯಿಂದ ಹಿಂತೆಗೆದುಕೊಳ್ಳುವುದು",,,,,,,,,YES
,Risk purchase clause,ಹೊಣೆ ಖರೀದಿ ಖಂಡ,,,,,,,,,YES
,Sales,ಮಾರಾಟಗಳು,,,,,,,,,YES
,Sales Tax,ಮಾರಾಟ ತೆರಿಗೆ,,,,,,,,,YES
,Scrap Management,ಚೂರುಪಾರು ನಿರ್ವಹಣೆ,,,,,,,,,YES
,Security Deposit,ಭದ್ರತಾ ಠೇವಣಿ,,,,,,,,,YES
,Small Scale Industries,ಸಣ್ಣ ಪ್ರಮಾಣದ ಕೈಗಾರಿಕೆಗಳು,,,,,,,,,YES
,Spares/spare parts,ಬಿಡಿ / ಬಿಡಿಭಾಗಗಳು,,,,,,,,,YES
,Specification,"ನಮೂದು ಮಾಡುವುದು, ವಿಶಿಷ್ಟ ವಿವರಣೆ / ತಪಶೀಲು, ನಿರ್ದಿಷ್ಟತೆ",,,,,,,,,YES
,State Tender Bulletin,ರಾಜ್ಯ ಟೆಂಡರು ಪ್ರಕಟಣೆ,,,,,,,,,YES
,Status,"ಸ್ಥಾನಮಾನ, ವಸ್ತುಸ್ಥಿತಿ",,,,,,,,,YES
,Stock Verification,ದಾಸ್ತಾನು ಪರಿಶೀಲನೆ,,,,,,,,,YES
,Stores,"ಸರಕು ಮಾರಾಟ ಸ್ಮಳ, ಸ್ಟೋರ್ಸ್‌, ಸಂಗ್ರಹ ಸ್ಥಳ",,,,,,,,,YES
,Stores Keeper,ಉಗ್ರಾಣ ಪಾಲಕ,,,,,,,,,YES
,Stores Officer,ಉಗ್ರಾಣ ಅಧಿಕಾರಿ,,,,,,,,,YES
,Stores Superintendent,"ಉಗ್ರಾಣ ಅಧೀಕ್ಷಕ, ಸ್ಟೋರ್ಸ್‌ ಸೂಪರಿಂಟೆಂಡೆಂಟ್‌",,,,,,,,,YES
,Suppliers,ಸರಬರಾಜುದಾರರು,,,,,,,,,YES
,Supply capacity,ಸರಬರಾಜು ಸಾಮರ್ಥ್ಯ,,,,,,,,,YES
,Supply Quantity,ಸರಬರಾಜು ಪ್ರಮಾಣ,,,,,,,,,YES
,Surcharge,"ಅಧಿಭಾರ, ಸರ್‌ಚಾರ್ಜ್‌, ಮೇಲ್‌ ತೆರಿಗೆ",,,,,,,,,YES
,Tariff,"ದರ, ಬೆಲೆ, ಆಮದು ರಫ್ತು ಸುಂಕ",,,,,,,,,YES
,Temperature,ಉಷ್ಣಾಂಶ,,,,,,,,,YES
,Tender,ಟೆಂಡರು,,,,,,,,,YES
,Tender accepting Authority,ಟೆಂಡರು ಅಂಗೀಕರಿಸುವ ಪ್ರಾಧಿಕಾರ,,,,,,,,,YES
,Tender Box,ಟೆಂಡರು ಪೆಟ್ಟಿಗೆ,,,,,,,,,YES
,Tender Document,ಟೆಂಡರು ದಾಖಲೆ,,,,,,,,,YES
,Tender Enquiry,ಟೆಂಡರು ವಿಚಾರಣೆ,,,,,,,,,YES
,Tender Notification,ಟೆಂಡರು ಅಧಿಸೂಚನೆ,,,,,,,,,YES
,Tender Scrutiny Committee,ಟೆಂಡರು ಪರಿಶೀಲನಾ ಸಮಿತಿ,,,,,,,,,YES
,Terms and Conditions,ನಿಬಂಧನೆಗಳು ಮತ್ತು ಷರತ್ತುಗಳು,,,,,,,,,YES
,Technical Specification,ತಾಂತ್ರಿಕ ವಿಶಿಷ್ಟ ವಿವರಣೆ/ ತಪಶೀಲು ತಾಂತ್ರಿಕ ನಿರ್ದಿಷ್ಟಾಂಶಗಳು,,,,,,,,,YES
,Tracking,"ದಾರಿ, ಮಾರ್ಗ, ಪಥ, ಜಾಡು",,,,,,,,,YES
,Transgression,"ಉತ್ಕ್ರಮಣ, ಉಲ್ಲಂಘಿಸು",,,,,,,,,YES
,Transit,ಸಾಗಣೆ,,,,,,,,,YES
,Transportation Charges,ಸಾಗಣೆ ಶುಲ್ಕಗಳು,,,,,,,,,YES
,Transporters Bill,ಸಾಗಣೆದಾರರ ಬಿಲ್ಲು,,,,,,,,,YES
,Trial Rate Contract,ಅಧಿವಿಚಾರಣೆ ದರ ಕರಾರು,,,,,,,,,YES
,Turnover,ವಹಿವಾಟು,,,,,,,,,YES
,Tyre Cards,ಟೈರು ಕಾರ್ಡುಗಳು,,,,,,,,,YES
,Tyre Master register,ಟೈರಿಗೆ ಸಂಬಂಧಿಸಿದ ಮುಖ್ಯ ರಿಜಿಸ್ಟರು,,,,,,,,,YES
,Validity,ಸಿಂಧುತ್ವ,,,,,,,,,YES
,Verification,"ಸತ್ಯಾಪನೆ, ಪರಿಶೀಲನೆ",,,,,,,,,YES
,Vetting,"ಅನುಮೋದನೆ, ಒಪ್ಪಿಗೆ ಕೊಡುವುದು",,,,,,,,,YES
,Volume Discount,ಪರಿಮಾಣ ಸೋಡಿ,,,,,,,,,YES
,Warranty,"ಭರವಸೆ, ವಾರಂಟಿ",,,,,,,,,YES
,Write off,ಮನ್ನಾ ಮಾಡು,,,,,,,,,YES
