ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Gravel,,ಗ್ರಾವೆಲ್‌,,,,,,,
YES,,Grooves,,"ತೋಡುಗಳು, ರಂಧ್ರಗಳು, ಗ್ರೂವ್ಸ್‌,",,,,,,,
YES,,Gully trap,,ಗಲ್ಲಿ ಟ್ರಾಪ್‌,,,,,,,
YES,,Hard soil,,"ಗಟ್ಟಿ ಮಣ್ಣು, ಗಡುಸು ಮಣ್ಣು, ಹಾರ್ಡ್‌ ಸಾಯಿಲ್‌",,,,,,,
YES,,Hard rock,,"ಗಟ್ಟಿ ಕಲ್ಲು, ಗಡುಸು ಕಲ್ಲು ಹಾರ್ಡ್‌ ರಾಕ್‌",,,,,,,
YES,,Hand railing,,"ಹಿಡಿಕಂಬಿ, ಹ್ಯಾಂಡ್‌ ರೈಲಿಂಗ್‌",,,,,,,
YES,,Hinges,,"ತಿರುಗಣೆಗಳು, ಕೀಲುಗಳು, ಹಿಂಜಸ್‌",,,,,,,
YES,,Honne Wood,,ಹೊನ್ನೆಮರ,,,,,,,
YES,,Hooking,,"ಕೊಕ್ಕೆ ಹಾಕುವುದು, ತಗಲುಹಾಕುವುದು, ಹುಕಿಂಗ್‌",,,,,,,
YES,,Inspection Chamber,,ತನಿಖಾ ಕೊಠಡಿ,,,,,,,
YES,,Iron,,ಕಬ್ಬಿಣ,,,,,,,
YES,,Jelly,,ಜೆಲ್ಲಿ,,,,,,,
YES,,Layer,,"ಪದರ, ಸ್ತರ, ಲೇಯರ್‌",,,,,,,
YES,,Laying,,"ಹಾಕುವುದು, ಅಳವಡಿಸುವುದು, ಜೋಡಿಸುವುದು,",,,,,,,
YES,,Lapping,,"ಚಾಚುವುದು, ಹಾಸುವುದು, ಸುರುಳಿ, ಕೂಡಿಸುವುದು,",,,,,,,
YES,,Labour,,"ಕೂಲಿ, ಕೆಲಸ, ಕಾರ್ಯ, ಶ್ರಮ",,,,,,,
YES,,Lead & Lift,,ಉದ್ದರಣಾ,,,,,,,
YES,,Levelling,,"ಮಟ್ಟಮಾಡುವುದು, ಸಮತಲಗೊಳಿಸುವುದು,",,,,,,,
YES,,Lime stone,,"ಸುಣ್ಣದ ಕಲ್ಲು, ಲೈಮ್‌ಸ್ಟೋನ್‌",,,,,,,
YES,,Lime,,"ಸುಟ್ಟ, ಸುಣ್ಣ",,,,,,,
YES,,Lining,,ಲೈನಿಂಗ್‌,,,,,,,
YES,,Lifting,,"ಮೇಲಕ್ಕೆತ್ತು, ಎತ್ತರಿಸು, ಎತ್ತುವುದು, ಲಿಫ್ಟಿಂಗ್‌",,,,,,,
YES,,Lintels,,"ಹಾಸುಗಲ್ಲು, ಹಾಸುಮರ, ಲಿಂಟೆಲ್‌ಗಳು",,,,,,,
YES,,Load,,"ಭಾರ, ಹೇರು, ಹೊರೆ",,,,,,,
YES,,Loft,,"ಅಟ್ಟ, ಚಾಚುಪೀಠ ಪಂಕ್ತಿ, ಲಾಫ್ಟ್",,,,,,,
YES,,Loading,,"ತುಂಬುವುದು, ಭರ್ತಿ ಮಾಡುವುದು, ಲೋಡಿಂಗ್",,,,,,,
YES,,Lowering,,"ಕೆಳಕ್ಕಿಳಿಸು, ಇಳಿಸು, ತಗ್ಗಿಸು",,,,,,,
YES,,Manhole,,"ಆಳುಗಂಡಿ, ಮ್ಯಾನ್ ಹೋಲ್",,,,,,,
YES,,Mason,,"ಗಾರೆ ಕೆಲಸದವನು, ಕಲ್ಲು ಕುಟಿಗ, ಮೇಸನ್‌",,,,,,,
YES,,Mathi,,ಮತ್ತಿ ಮರ,,,,,,,
YES,,Macadam,,"ಅದರ ಪದರವಾಗಿ ಹಾಕಿ ತಯಾರಿಸಿದೆ, ಮಕಾಡಂ",,,,,,,
YES,,Metal,,"ಲೋಹ, ಜಲ್ಲಿಕಲ್ಲು",,,,,,,
YES,,Mesh,,"ಬಲೆ-ಬಲೆಯಂಥ ರಚನೆ, ಮೆಶ್‌",,,,,,,
YES,,Mixing,,"ಮಿಶ್ರಗೊಳಿಸುವುದು, ಬೆರಸುವುದು, ಮಿಕ್ಸಿಂಗ್‌",,,,,,,
YES,,Mosaic,,ಮೊಸಾಯಿಕ್‌,,,,,,,
YES,,Moulding,,"ಅಚ್ಚುಹಾಕುವುದು, ಮೌಲ್ಡ್‌ ಮಾಡುವುದು",,,,,,,
YES,,M.S. rod,,ಎಂ.ಎಸ್‌. ರಾಡ್‌,,,,,,,
YES,,Mud,,ಮಣ್ಣು ಕೆಸರು,,,,,,,
YES,,Modular,,ಮಾಡ್ಯುಲರ್‌,,,,,,,
YES,,Nandi Wood,,ನಂದಿ ಮರ,,,,,,,
YES,,Ordinary soil,,ಸಾಮಾನ್ಯ ಮಣ್ಣು,,,,,,,
YES,,Ordinary rock,,"ಸಾಮಾನ್ಯ ಕಲ್ಲು, ಬಂಡೆ ಶಿಲೆ",,,,,,,
YES,,Overhead tank,,"ಮೇಲು ಎತ್ತರದ ತೊಟ್ಟಿ, ಮೇಲುಮಹಡಿಯಲ್ಲಿ ಮಾಡಿರುವ ತೊಟ್ಟಿ",,,,,,,
YES,,Parapet,,"ಕೈಪಿಡಿಗೊಡೆ, ಪಾಗಾರ, ಪ್ಯಾರಾಪಟ್‌",,,,,,,
YES,,Paving,,"ಹಾಸುವುದು, ನೆಲಗಟ್ಟು ಮಾಡುವುದು, ಹದಿಸುವುದು",,,,,,,
YES,,Padlock,,"ಚಿಲಕ, ಪ್ಯಾಡ್ ಲಾಕ್",,,,,,,
YES,,Panels,,"ಅಂಕಣ, ಪ್ಯಾನಲ್ಸ್‌",,,,,,,
YES,,Pattern,,"ಮಾದರಿ, ನಮೂನೆ, ರೂಪಿಕೆ, ಪ್ಯಾಟ್ರನ್‌",,,,,,,
YES,,Paint,,"ಬಣ್ಣ, ವರ್ಣ",,,,,,,
YES,,Patti,,"ಸಮಗೊಳಿಸುವುದು, ಪಟ್ಟಿ ಮಾಡುವುದು",,,,,,,
YES,,Pillars,,"ಕಂಬಗಳು, ಸ್ತಂಬಗಳು",,,,,,,
YES,,Pipeline,,"ಕೊಳವೆಮಾರ್ಗ, ಪೈಪ್‌ಲೈನ್‌",,,,,,,
YES,,Plank,,"ಮರದ ಹಲಗೆ, ಫಲಕ",,,,,,,
YES,,Plastering,,"ಮೆತ್ತು, ಗಾರೆ ಮಾಡುವುದು, ಮಡ್ಡಿ ಮಾಡುವುದು",,,,,,,
